Timestamp,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,IsTargetTrace,StrokeID,TargetID,TrailTypeID
0,-0.04967409,0.02028403,-0.2092278,78.23649,346.7054,246.7307,True,1,0,5
0.00378418,-0.04967478,0.02028757,-0.2092545,78.22677,346.7874,246.8262,True,1,0,5
0.00668335,-0.04977088,0.02031891,-0.2092403,78.20318,346.7397,246.8668,True,1,0,5
0.009349823,-0.04977483,0.02032445,-0.2092605,78.19483,346.8033,246.9436,True,1,0,5
0.01161575,-0.0497785,0.02032962,-0.2092794,78.187,346.8626,247.0151,True,1,0,5
0.019104,-0.04991121,0.02036433,-0.2092755,78.15433,346.8215,247.0881,True,1,0,5
0.02180099,-0.04991689,0.02037247,-0.2092911,78.14451,346.8869,247.1707,True,1,0,5
0.02502441,-0.0500031,0.02037923,-0.2092516,78.13499,346.7455,247.0772,True,1,0,5
0.0275383,-0.05000525,0.02038571,-0.2092558,78.12708,346.7933,247.1397,True,1,0,5
0.02994537,-0.05000733,0.02039206,-0.2092598,78.11929,346.8399,247.2007,True,1,0,5
0.03274155,-0.05003104,0.02039242,-0.2091277,78.08234,346.8303,247.1933,True,1,0,5
0.03609848,-0.05002952,0.02039745,-0.2091215,78.07166,346.8864,247.2669,True,1,0,5
0.03855515,-0.05002825,0.02040167,-0.2091163,78.06274,346.933,247.3282,True,1,0,5
0.04162598,-0.05003008,0.0204086,-0.2090346,78.04832,346.9099,247.2975,True,1,0,5
0.04455185,-0.05002326,0.02041361,-0.2090184,78.03756,346.9631,247.3674,True,1,0,5
0.04777145,-0.05001661,0.02041852,-0.2090026,78.02707,347.015,247.4356,True,1,0,5
0.05076218,-0.05003225,0.02041735,-0.2089881,78.03652,346.9329,247.3444,True,1,0,5
0.0536232,-0.05002186,0.02042232,-0.2089666,78.0274,346.9778,247.4035,True,1,0,5
0.05695343,-0.05004072,0.02041467,-0.2089678,78.03794,346.8972,247.3199,True,1,0,5
0.06009293,-0.05002697,0.02041911,-0.2089418,78.02987,346.9371,247.3724,True,1,0,5
0.0634079,-0.05000997,0.02042465,-0.2089097,78.0199,346.9864,247.4372,True,1,0,5
0.06662369,-0.0500507,0.02041721,-0.2090291,78.06491,346.7823,247.2465,True,1,0,5
0.06976318,-0.0500305,0.02042408,-0.2089995,78.05791,346.8177,247.2949,True,1,0,5
0.07294083,-0.05007213,0.02040344,-0.2091033,78.08814,346.6423,247.1312,True,1,0,5
0.07530212,-0.05005324,0.02040797,-0.2090818,78.08354,346.6651,247.1641,True,1,0,5
0.07756042,-0.05003223,0.02041301,-0.2090578,78.07841,346.6904,247.2007,True,1,0,5
0.08030319,-0.05001189,0.0204179,-0.2090346,78.07348,346.7148,247.2361,True,1,0,5
0.08428574,-0.04994202,0.02038318,-0.2090681,78.08306,346.6844,247.2397,True,1,0,5
0.0875206,-0.04990859,0.02038482,-0.2090419,78.07749,346.7126,247.2821,True,1,0,5
0.0901413,-0.05014477,0.0204192,-0.2090575,78.04041,346.2652,246.8568,True,1,0,5
0.09271622,-0.0501202,0.02042216,-0.2090443,78.0354,346.2747,246.8772,True,1,0,5
0.09529114,-0.05009343,0.02042539,-0.2090299,78.02998,346.285,246.8994,True,1,0,5
0.09780502,-0.05028797,0.02043109,-0.2091807,78.01122,345.817,246.5135,True,1,0,5
0.1005745,-0.0502497,0.02043433,-0.2091838,78.00417,345.8141,246.5275,True,1,0,5
0.1035385,-0.05021647,0.02043712,-0.2091864,77.99811,345.8116,246.5395,True,1,0,5
0.1066017,-0.05041569,0.02043338,-0.209141,77.92651,345.5096,246.274,True,1,0,5
0.1091003,-0.05038991,0.02043103,-0.2091518,77.91936,345.5,246.2782,True,1,0,5
0.1112289,-0.05036491,0.02042873,-0.2091622,77.91238,345.4907,246.2821,True,1,0,5
0.1136055,-0.0503414,0.02042659,-0.209172,77.90589,345.4819,246.2859,True,1,0,5
0.1214981,-0.05041656,0.0204265,-0.2088927,77.73813,345.497,246.3032,True,1,0,5
0.1244202,-0.0504718,0.02047153,-0.2086666,77.63039,345.5344,246.3366,True,1,0,5
0.1273651,-0.05045801,0.02046306,-0.2086798,77.61598,345.5265,246.3422,True,1,0,5
0.1297569,-0.05044595,0.02045566,-0.2086914,77.60341,345.5195,246.347,True,1,0,5
0.1325684,-0.05051188,0.02050358,-0.2085682,77.52988,345.4929,246.2916,True,1,0,5
0.1356888,-0.05049943,0.02049667,-0.2085858,77.50928,345.4822,246.2968,True,1,0,5
