ExpID,TrialNumber,Condition,Direction,TargetHeight(mm),FinalHeight(mm),Error(mm),CompletionTime(s)
Exp_20260311_170114,1,midair,Up,50.0,52.29,2.29,2.081
Exp_20260311_170114,2,midair,Up,50.0,49.33,0.67,2.146
Exp_20260311_170114,3,midair,Up,20.0,16.98,3.02,0.499
Exp_20260311_170114,4,midair,Down,10.0,10.34,0.34,1.679
Exp_20260311_170114,5,midair,Up,10.0,9.62,0.38,0.999
