ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
Exp_20260311_170607,1,0.011,30.00
Exp_20260311_170607,1,0.022,30.03
Exp_20260311_170607,1,0.033,29.92
Exp_20260311_170607,1,0.047,29.88
Exp_20260311_170607,1,0.056,29.59
Exp_20260311_170607,1,0.067,29.50
Exp_20260311_170607,1,0.078,29.32
Exp_20260311_170607,1,0.089,28.71
Exp_20260311_170607,1,0.100,28.38
Exp_20260311_170607,1,0.118,28.29
Exp_20260311_170607,1,0.122,27.94
Exp_20260311_170607,1,0.133,27.54
Exp_20260311_170607,1,0.144,27.00
Exp_20260311_170607,1,0.155,26.33
Exp_20260311_170607,1,0.166,25.61
Exp_20260311_170607,1,0.178,24.59
Exp_20260311_170607,1,0.189,23.56
Exp_20260311_170607,1,0.203,22.56
Exp_20260311_170607,1,0.213,21.08
Exp_20260311_170607,1,0.222,19.79
Exp_20260311_170607,1,0.233,18.24
Exp_20260311_170607,1,0.244,16.80
Exp_20260311_170607,1,0.255,14.83
Exp_20260311_170607,1,0.266,13.14
Exp_20260311_170607,1,0.278,11.44
Exp_20260311_170607,1,0.289,9.35
Exp_20260311_170607,1,0.300,7.64
Exp_20260311_170607,1,0.311,5.75
Exp_20260311_170607,1,0.325,3.97
Exp_20260311_170607,1,0.333,2.33
Exp_20260311_170607,1,0.344,0.42
Exp_20260311_170607,1,0.358,1.31
Exp_20260311_170607,1,0.366,2.95
Exp_20260311_170607,1,0.377,4.70
Exp_20260311_170607,1,0.389,5.55
Exp_20260311_170607,1,0.400,5.95
Exp_20260311_170607,1,0.411,6.32
Exp_20260311_170607,1,0.422,5.92
Exp_20260311_170607,1,0.436,6.05
Exp_20260311_170607,1,0.444,6.21
Exp_20260311_170607,1,0.455,5.84
Exp_20260311_170607,1,0.466,5.92
Exp_20260311_170607,1,0.477,5.83
Exp_20260311_170607,1,0.488,5.57
Exp_20260311_170607,1,0.500,5.55
Exp_20260311_170607,1,0.513,5.57
Exp_20260311_170607,1,0.523,5.61
Exp_20260311_170607,1,0.533,5.57
Exp_20260311_170607,1,0.547,5.53
Exp_20260311_170607,1,0.555,5.51
Exp_20260311_170607,1,0.567,5.52
Exp_20260311_170607,1,0.578,5.66
Exp_20260311_170607,1,0.589,5.64
Exp_20260311_170607,1,0.600,5.63
Exp_20260311_170607,1,0.611,5.59
Exp_20260311_170607,1,0.622,5.56
Exp_20260311_170607,1,0.633,5.65
Exp_20260311_170607,1,0.644,5.69
Exp_20260311_170607,1,0.658,5.61
Exp_20260311_170607,1,0.668,5.61
Exp_20260311_170607,1,0.677,5.60
Exp_20260311_170607,1,0.689,5.59
Exp_20260311_170607,1,0.700,5.56
Exp_20260311_170607,1,0.711,5.54
Exp_20260311_170607,1,0.722,5.56
Exp_20260311_170607,1,0.733,5.56
Exp_20260311_170607,1,0.744,5.56
Exp_20260311_170607,1,0.755,5.49
Exp_20260311_170607,1,0.769,5.39
Exp_20260311_170607,1,0.777,5.22
