ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
Exp_20260311_170114,1,0.011,50.00
Exp_20260311_170114,1,0.025,49.97
Exp_20260311_170114,1,0.033,49.77
Exp_20260311_170114,1,0.044,49.46
Exp_20260311_170114,1,0.056,49.84
Exp_20260311_170114,1,0.067,49.48
Exp_20260311_170114,1,0.078,49.04
Exp_20260311_170114,1,0.089,49.23
Exp_20260311_170114,1,0.108,49.08
Exp_20260311_170114,1,0.114,48.72
Exp_20260311_170114,1,0.122,48.80
Exp_20260311_170114,1,0.133,48.61
Exp_20260311_170114,1,0.144,48.72
Exp_20260311_170114,1,0.155,48.40
Exp_20260311_170114,1,0.166,48.37
Exp_20260311_170114,1,0.178,48.11
Exp_20260311_170114,1,0.189,47.37
Exp_20260311_170114,1,0.200,46.41
Exp_20260311_170114,1,0.215,45.65
Exp_20260311_170114,1,0.222,44.23
Exp_20260311_170114,1,0.233,42.80
Exp_20260311_170114,1,0.246,41.26
Exp_20260311_170114,1,0.256,38.67
Exp_20260311_170114,1,0.266,37.15
Exp_20260311_170114,1,0.279,35.52
Exp_20260311_170114,1,0.288,33.25
Exp_20260311_170114,1,0.300,31.39
Exp_20260311_170114,1,0.311,29.44
Exp_20260311_170114,1,0.329,28.09
Exp_20260311_170114,1,0.333,26.51
Exp_20260311_170114,1,0.344,25.33
Exp_20260311_170114,1,0.356,23.96
Exp_20260311_170114,1,0.367,22.64
Exp_20260311_170114,1,0.379,21.77
Exp_20260311_170114,1,0.390,20.99
Exp_20260311_170114,1,0.401,20.43
Exp_20260311_170114,1,0.413,19.85
Exp_20260311_170114,1,0.427,19.91
Exp_20260311_170114,1,0.437,19.61
Exp_20260311_170114,1,0.446,19.50
Exp_20260311_170114,1,0.458,19.41
Exp_20260311_170114,1,0.469,19.34
Exp_20260311_170114,1,0.481,19.14
Exp_20260311_170114,1,0.492,19.05
Exp_20260311_170114,1,0.503,19.03
Exp_20260311_170114,1,0.515,19.06
Exp_20260311_170114,1,0.528,18.98
Exp_20260311_170114,1,0.537,18.98
Exp_20260311_170114,1,0.549,18.72
Exp_20260311_170114,1,0.560,18.35
Exp_20260311_170114,1,0.571,17.93
Exp_20260311_170114,1,0.582,17.64
Exp_20260311_170114,1,0.595,17.24
Exp_20260311_170114,1,0.604,16.98
Exp_20260311_170114,1,0.616,16.50
Exp_20260311_170114,1,0.629,16.24
Exp_20260311_170114,1,0.638,15.97
Exp_20260311_170114,1,0.649,15.75
Exp_20260311_170114,1,0.660,15.29
Exp_20260311_170114,1,0.671,14.72
Exp_20260311_170114,1,0.682,14.28
Exp_20260311_170114,1,0.693,13.90
Exp_20260311_170114,1,0.704,13.18
Exp_20260311_170114,1,0.716,12.60
Exp_20260311_170114,1,0.727,12.11
Exp_20260311_170114,1,0.740,11.40
Exp_20260311_170114,1,0.751,10.56
Exp_20260311_170114,1,0.760,9.66
Exp_20260311_170114,1,0.771,8.38
Exp_20260311_170114,1,0.782,7.60
Exp_20260311_170114,1,0.793,6.72
Exp_20260311_170114,1,0.804,5.31
Exp_20260311_170114,1,0.815,4.72
Exp_20260311_170114,1,0.826,3.83
Exp_20260311_170114,1,0.838,3.18
Exp_20260311_170114,1,0.852,2.44
Exp_20260311_170114,1,0.860,1.48
Exp_20260311_170114,1,0.871,1.00
Exp_20260311_170114,1,0.882,0.74
Exp_20260311_170114,1,0.893,0.40
Exp_20260311_170114,1,0.907,0.03
Exp_20260311_170114,1,0.915,0.46
Exp_20260311_170114,1,0.926,0.73
Exp_20260311_170114,1,0.938,0.68
Exp_20260311_170114,1,0.949,0.81
Exp_20260311_170114,1,0.962,0.80
