ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
Exp_20260311_170114,1,0.971,0.48
Exp_20260311_170114,1,0.982,0.37
Exp_20260311_170114,1,0.993,0.36
Exp_20260311_170114,1,1.004,0.10
Exp_20260311_170114,1,1.015,0.31
Exp_20260311_170114,1,1.028,0.45
Exp_20260311_170114,1,1.038,0.79
Exp_20260311_170114,1,1.049,0.87
Exp_20260311_170114,1,1.062,0.93
Exp_20260311_170114,1,1.074,0.96
Exp_20260311_170114,1,1.082,0.96
Exp_20260311_170114,1,1.093,0.98
Exp_20260311_170114,1,1.104,1.02
Exp_20260311_170114,1,1.115,1.11
Exp_20260311_170114,1,1.126,1.19
Exp_20260311_170114,1,1.138,1.04
Exp_20260311_170114,1,1.148,1.08
Exp_20260311_170114,1,1.160,1.16
Exp_20260311_170114,1,1.172,1.13
Exp_20260311_170114,1,1.185,1.13
Exp_20260311_170114,1,1.193,1.12
Exp_20260311_170114,1,1.204,1.20
Exp_20260311_170114,1,1.217,1.20
Exp_20260311_170114,1,1.226,1.18
Exp_20260311_170114,1,1.237,0.97
Exp_20260311_170114,1,1.248,0.81
Exp_20260311_170114,1,1.260,0.79
Exp_20260311_170114,1,1.271,0.75
Exp_20260311_170114,1,1.283,0.69
Exp_20260311_170114,1,1.296,0.57
Exp_20260311_170114,1,1.304,0.42
Exp_20260311_170114,1,1.315,0.19
Exp_20260311_170114,1,1.326,0.02
Exp_20260311_170114,1,1.337,0.37
Exp_20260311_170114,1,1.348,0.58
Exp_20260311_170114,1,1.360,1.02
Exp_20260311_170114,1,1.373,1.21
Exp_20260311_170114,1,1.382,1.57
Exp_20260311_170114,1,1.393,1.76
Exp_20260311_170114,1,1.406,1.96
Exp_20260311_170114,1,1.415,2.16
Exp_20260311_170114,1,1.427,2.30
Exp_20260311_170114,1,1.437,2.53
Exp_20260311_170114,1,1.448,2.72
Exp_20260311_170114,1,1.460,2.80
Exp_20260311_170114,1,1.471,2.91
Exp_20260311_170114,1,1.482,2.89
Exp_20260311_170114,1,1.493,2.88
Exp_20260311_170114,1,1.504,2.78
Exp_20260311_170114,1,1.518,2.41
Exp_20260311_170114,1,1.528,2.14
Exp_20260311_170114,1,1.537,1.96
Exp_20260311_170114,1,1.549,1.70
Exp_20260311_170114,1,1.560,1.56
Exp_20260311_170114,1,1.571,1.48
Exp_20260311_170114,1,1.582,1.44
Exp_20260311_170114,1,1.593,1.36
Exp_20260311_170114,1,1.604,1.19
Exp_20260311_170114,1,1.615,1.14
Exp_20260311_170114,1,1.629,1.08
Exp_20260311_170114,1,1.637,0.93
Exp_20260311_170114,1,1.648,0.80
Exp_20260311_170114,1,1.659,0.68
Exp_20260311_170114,1,1.672,0.56
Exp_20260311_170114,1,1.684,0.22
Exp_20260311_170114,1,1.693,0.07
Exp_20260311_170114,1,1.704,0.61
Exp_20260311_170114,1,1.715,1.15
Exp_20260311_170114,1,1.726,1.40
Exp_20260311_170114,1,1.740,1.53
Exp_20260311_170114,1,1.748,1.72
Exp_20260311_170114,1,1.759,1.77
Exp_20260311_170114,1,1.770,1.84
Exp_20260311_170114,1,1.782,1.52
Exp_20260311_170114,1,1.793,1.12
Exp_20260311_170114,1,1.804,0.71
Exp_20260311_170114,1,1.815,0.41
Exp_20260311_170114,1,1.826,0.27
Exp_20260311_170114,1,1.839,0.19
Exp_20260311_170114,1,1.851,0.30
Exp_20260311_170114,1,1.859,0.32
Exp_20260311_170114,1,1.870,0.30
Exp_20260311_170114,1,1.881,0.26
Exp_20260311_170114,1,1.893,0.14
Exp_20260311_170114,1,1.904,0.06
Exp_20260311_170114,1,1.915,0.05
Exp_20260311_170114,1,1.926,0.16
Exp_20260311_170114,1,1.937,0.31
Exp_20260311_170114,1,1.948,0.50
Exp_20260311_170114,1,1.962,0.67
Exp_20260311_170114,1,1.970,0.81
Exp_20260311_170114,1,1.982,0.94
Exp_20260311_170114,1,1.994,1.03
Exp_20260311_170114,1,2.004,1.25
Exp_20260311_170114,1,2.015,1.23
Exp_20260311_170114,1,2.026,1.38
Exp_20260311_170114,1,2.037,1.29
Exp_20260311_170114,1,2.048,1.67
Exp_20260311_170114,1,2.060,1.97
Exp_20260311_170114,1,2.073,2.13
Exp_20260311_170114,1,2.081,2.21
Exp_20260311_170114,2,0.012,50.00
Exp_20260311_170114,2,0.024,50.06
Exp_20260311_170114,2,0.033,49.86
Exp_20260311_170114,2,0.045,49.64
Exp_20260311_170114,2,0.055,49.35
Exp_20260311_170114,2,0.067,49.51
Exp_20260311_170114,2,0.080,49.87
Exp_20260311_170114,2,0.089,50.24
Exp_20260311_170114,2,0.100,50.30
Exp_20260311_170114,2,0.111,50.19
Exp_20260311_170114,2,0.122,49.67
Exp_20260311_170114,2,0.136,49.42
Exp_20260311_170114,2,0.144,49.03
Exp_20260311_170114,2,0.155,47.73
Exp_20260311_170114,2,0.166,46.92
Exp_20260311_170114,2,0.178,46.30
Exp_20260311_170114,2,0.189,45.27
Exp_20260311_170114,2,0.200,44.12
Exp_20260311_170114,2,0.211,43.12
Exp_20260311_170114,2,0.222,41.51
Exp_20260311_170114,2,0.235,40.14
Exp_20260311_170114,2,0.246,38.71
Exp_20260311_170114,2,0.255,37.32
Exp_20260311_170114,2,0.266,36.08
Exp_20260311_170114,2,0.278,34.67
Exp_20260311_170114,2,0.289,32.54
Exp_20260311_170114,2,0.300,31.09
Exp_20260311_170114,2,0.311,29.60
Exp_20260311_170114,2,0.322,27.85
Exp_20260311_170114,2,0.333,26.45
Exp_20260311_170114,2,0.344,25.33
Exp_20260311_170114,2,0.358,24.50
Exp_20260311_170114,2,0.366,23.46
Exp_20260311_170114,2,0.378,22.60
Exp_20260311_170114,2,0.391,22.39
Exp_20260311_170114,2,0.400,21.55
Exp_20260311_170114,2,0.411,20.50
Exp_20260311_170114,2,0.422,19.47
Exp_20260311_170114,2,0.433,18.83
Exp_20260311_170114,2,0.444,18.32
Exp_20260311_170114,2,0.455,17.24
Exp_20260311_170114,2,0.469,16.43
Exp_20260311_170114,2,0.477,15.52
Exp_20260311_170114,2,0.489,14.98
Exp_20260311_170114,2,0.500,14.25
Exp_20260311_170114,2,0.511,13.76
Exp_20260311_170114,2,0.522,13.02
Exp_20260311_170114,2,0.533,12.32
Exp_20260311_170114,2,0.546,11.61
Exp_20260311_170114,2,0.555,11.22
Exp_20260311_170114,2,0.567,10.49
Exp_20260311_170114,2,0.580,10.07
Exp_20260311_170114,2,0.588,9.83
Exp_20260311_170114,2,0.600,9.53
Exp_20260311_170114,2,0.611,9.00
Exp_20260311_170114,2,0.622,8.67
Exp_20260311_170114,2,0.633,8.46
Exp_20260311_170114,2,0.644,8.36
Exp_20260311_170114,2,0.655,7.90
Exp_20260311_170114,2,0.666,7.56
Exp_20260311_170114,2,0.678,7.49
Exp_20260311_170114,2,0.692,7.95
Exp_20260311_170114,2,0.702,7.95
Exp_20260311_170114,2,0.710,7.96
Exp_20260311_170114,2,0.722,8.01
Exp_20260311_170114,2,0.733,7.99
Exp_20260311_170114,2,0.744,8.03
Exp_20260311_170114,2,0.755,8.10
Exp_20260311_170114,2,0.766,8.05
Exp_20260311_170114,2,0.777,8.08
Exp_20260311_170114,2,0.789,8.02
Exp_20260311_170114,2,0.802,8.02
Exp_20260311_170114,2,0.810,8.19
Exp_20260311_170114,2,0.822,8.30
Exp_20260311_170114,2,0.833,8.40
Exp_20260311_170114,2,0.844,8.35
Exp_20260311_170114,2,0.857,8.13
Exp_20260311_170114,2,0.866,8.14
Exp_20260311_170114,2,0.877,8.12
Exp_20260311_170114,2,0.889,7.62
Exp_20260311_170114,2,0.903,7.34
Exp_20260311_170114,2,0.910,7.05
Exp_20260311_170114,2,0.923,6.90
Exp_20260311_170114,2,0.932,6.67
Exp_20260311_170114,2,0.944,6.48
Exp_20260311_170114,2,0.955,6.10
Exp_20260311_170114,2,0.966,5.54
Exp_20260311_170114,2,0.977,5.03
Exp_20260311_170114,2,0.989,4.57
Exp_20260311_170114,2,1.000,4.24
Exp_20260311_170114,2,1.013,4.21
Exp_20260311_170114,2,1.022,3.92
Exp_20260311_170114,2,1.033,3.51
Exp_20260311_170114,2,1.044,3.38
Exp_20260311_170114,2,1.055,3.33
Exp_20260311_170114,2,1.066,3.25
Exp_20260311_170114,2,1.077,3.18
Exp_20260311_170114,2,1.088,3.18
Exp_20260311_170114,2,1.099,3.22
Exp_20260311_170114,2,1.111,3.33
Exp_20260311_170114,2,1.124,3.61
Exp_20260311_170114,2,1.132,3.88
Exp_20260311_170114,2,1.144,4.09
Exp_20260311_170114,2,1.155,4.08
Exp_20260311_170114,2,1.169,4.25
Exp_20260311_170114,2,1.177,4.40
Exp_20260311_170114,2,1.188,4.60
Exp_20260311_170114,2,1.200,4.73
Exp_20260311_170114,2,1.211,4.87
Exp_20260311_170114,2,1.222,5.19
Exp_20260311_170114,2,1.236,5.22
Exp_20260311_170114,2,1.244,5.29
Exp_20260311_170114,2,1.255,5.35
Exp_20260311_170114,2,1.266,5.23
Exp_20260311_170114,2,1.277,5.23
Exp_20260311_170114,2,1.288,5.18
Exp_20260311_170114,2,1.299,5.42
Exp_20260311_170114,2,1.311,5.35
Exp_20260311_170114,2,1.325,5.17
Exp_20260311_170114,2,1.336,5.17
Exp_20260311_170114,2,1.344,4.88
Exp_20260311_170114,2,1.355,4.43
Exp_20260311_170114,2,1.366,4.31
Exp_20260311_170114,2,1.377,4.18
Exp_20260311_170114,2,1.388,3.92
Exp_20260311_170114,2,1.399,3.50
Exp_20260311_170114,2,1.410,3.27
Exp_20260311_170114,2,1.421,3.18
Exp_20260311_170114,2,1.433,3.27
Exp_20260311_170114,2,1.446,3.21
Exp_20260311_170114,2,1.455,3.20
Exp_20260311_170114,2,1.465,3.09
Exp_20260311_170114,2,1.479,3.08
Exp_20260311_170114,2,1.487,3.08
Exp_20260311_170114,2,1.498,3.10
Exp_20260311_170114,2,1.509,3.04
Exp_20260311_170114,2,1.520,2.92
Exp_20260311_170114,2,1.531,2.85
Exp_20260311_170114,2,1.543,2.86
Exp_20260311_170114,2,1.556,2.93
Exp_20260311_170114,2,1.565,3.02
Exp_20260311_170114,2,1.576,3.02
Exp_20260311_170114,2,1.587,3.00
Exp_20260311_170114,2,1.598,2.95
Exp_20260311_170114,2,1.609,2.89
Exp_20260311_170114,2,1.620,2.87
Exp_20260311_170114,2,1.634,2.83
Exp_20260311_170114,2,1.643,2.79
Exp_20260311_170114,2,1.660,2.74
Exp_20260311_170114,2,1.667,2.62
Exp_20260311_170114,2,1.676,2.52
Exp_20260311_170114,2,1.687,2.41
Exp_20260311_170114,2,1.698,2.14
Exp_20260311_170114,2,1.709,1.99
Exp_20260311_170114,2,1.720,1.63
Exp_20260311_170114,2,1.731,1.32
Exp_20260311_170114,2,1.742,1.13
Exp_20260311_170114,2,1.754,0.97
Exp_20260311_170114,2,1.765,0.85
Exp_20260311_170114,2,1.779,0.90
Exp_20260311_170114,2,1.789,0.88
Exp_20260311_170114,2,1.798,0.70
Exp_20260311_170114,2,1.810,0.55
Exp_20260311_170114,2,1.820,0.50
Exp_20260311_170114,2,1.831,0.53
Exp_20260311_170114,2,1.843,0.45
Exp_20260311_170114,2,1.853,0.37
Exp_20260311_170114,2,1.864,0.32
Exp_20260311_170114,2,1.876,0.27
Exp_20260311_170114,2,1.890,0.22
Exp_20260311_170114,2,1.898,0.24
Exp_20260311_170114,2,1.910,0.30
Exp_20260311_170114,2,1.920,0.27
Exp_20260311_170114,2,1.931,0.28
Exp_20260311_170114,2,1.944,0.29
Exp_20260311_170114,2,1.953,0.37
Exp_20260311_170114,2,1.965,0.54
Exp_20260311_170114,2,1.976,0.56
Exp_20260311_170114,2,2.027,0.60
Exp_20260311_170114,2,2.034,0.60
Exp_20260311_170114,2,2.042,0.56
Exp_20260311_170114,2,2.054,0.63
Exp_20260311_170114,2,2.065,0.68
Exp_20260311_170114,2,2.076,0.70
Exp_20260311_170114,2,2.087,0.74
Exp_20260311_170114,2,2.101,0.77
Exp_20260311_170114,2,2.110,0.77
Exp_20260311_170114,2,2.121,0.76
Exp_20260311_170114,2,2.132,0.73
Exp_20260311_170114,2,2.146,0.72
Exp_20260311_170114,3,0.011,20.00
Exp_20260311_170114,3,0.022,19.88
Exp_20260311_170114,3,0.034,20.02
Exp_20260311_170114,3,0.044,20.07
Exp_20260311_170114,3,0.056,20.18
Exp_20260311_170114,3,0.070,20.20
Exp_20260311_170114,3,0.078,19.99
Exp_20260311_170114,3,0.089,19.95
Exp_20260311_170114,3,0.100,19.98
Exp_20260311_170114,3,0.113,20.01
Exp_20260311_170114,3,0.122,20.04
Exp_20260311_170114,3,0.133,20.10
Exp_20260311_170114,3,0.144,20.05
Exp_20260311_170114,3,0.155,20.02
Exp_20260311_170114,3,0.167,19.96
Exp_20260311_170114,3,0.180,19.88
Exp_20260311_170114,3,0.189,19.84
Exp_20260311_170114,3,0.200,19.97
Exp_20260311_170114,3,0.211,20.07
Exp_20260311_170114,3,0.222,20.07
Exp_20260311_170114,3,0.233,19.95
Exp_20260311_170114,3,0.244,19.66
Exp_20260311_170114,3,0.256,19.63
Exp_20260311_170114,3,0.275,19.50
Exp_20260311_170114,3,0.280,18.73
Exp_20260311_170114,3,0.288,18.24
Exp_20260311_170114,3,0.299,17.51
Exp_20260311_170114,3,0.310,16.37
Exp_20260311_170114,3,0.321,15.50
Exp_20260311_170114,3,0.332,14.58
Exp_20260311_170114,3,0.344,13.61
Exp_20260311_170114,3,0.354,12.72
Exp_20260311_170114,3,0.365,12.26
Exp_20260311_170114,3,0.377,11.42
Exp_20260311_170114,3,0.392,10.30
Exp_20260311_170114,3,0.399,9.13
Exp_20260311_170114,3,0.410,8.12
Exp_20260311_170114,3,0.423,7.08
Exp_20260311_170114,3,0.432,6.00
Exp_20260311_170114,3,0.443,5.69
Exp_20260311_170114,3,0.454,5.02
Exp_20260311_170114,3,0.465,4.20
Exp_20260311_170114,3,0.477,3.90
Exp_20260311_170114,3,0.490,3.42
Exp_20260311_170114,3,0.499,3.10
Exp_20260311_170114,4,0.011,40.00
Exp_20260311_170114,4,0.027,39.24
Exp_20260311_170114,4,0.033,38.76
Exp_20260311_170114,4,0.045,38.00
Exp_20260311_170114,4,0.056,36.99
Exp_20260311_170114,4,0.068,36.37
Exp_20260311_170114,4,0.078,35.56
Exp_20260311_170114,4,0.089,34.57
Exp_20260311_170114,4,0.100,33.58
Exp_20260311_170114,4,0.111,32.52
Exp_20260311_170114,4,0.125,31.52
Exp_20260311_170114,4,0.136,30.46
Exp_20260311_170114,4,0.144,29.27
Exp_20260311_170114,4,0.156,27.91
Exp_20260311_170114,4,0.167,26.44
Exp_20260311_170114,4,0.178,24.98
Exp_20260311_170114,4,0.189,23.39
Exp_20260311_170114,4,0.200,21.80
Exp_20260311_170114,4,0.211,20.19
Exp_20260311_170114,4,0.222,18.65
Exp_20260311_170114,4,0.234,16.89
Exp_20260311_170114,4,0.247,15.49
Exp_20260311_170114,4,0.255,14.01
Exp_20260311_170114,4,0.267,12.69
Exp_20260311_170114,4,0.280,11.32
Exp_20260311_170114,4,0.289,9.89
Exp_20260311_170114,4,0.300,8.63
Exp_20260311_170114,4,0.311,7.48
Exp_20260311_170114,4,0.322,6.70
Exp_20260311_170114,4,0.333,5.64
Exp_20260311_170114,4,0.345,4.82
Exp_20260311_170114,4,0.359,4.49
Exp_20260311_170114,4,0.366,4.04
Exp_20260311_170114,4,0.378,3.54
Exp_20260311_170114,4,0.389,3.62
Exp_20260311_170114,4,0.400,3.49
Exp_20260311_170114,4,0.411,3.48
Exp_20260311_170114,4,0.423,3.79
Exp_20260311_170114,4,0.435,3.98
Exp_20260311_170114,4,0.444,4.24
Exp_20260311_170114,4,0.456,4.60
Exp_20260311_170114,4,0.470,4.84
Exp_20260311_170114,4,0.478,5.03
Exp_20260311_170114,4,0.489,5.43
Exp_20260311_170114,4,0.500,5.70
Exp_20260311_170114,4,0.511,5.82
Exp_20260311_170114,4,0.522,5.67
Exp_20260311_170114,4,0.533,5.60
Exp_20260311_170114,4,0.544,5.54
Exp_20260311_170114,4,0.556,5.13
Exp_20260311_170114,4,0.570,5.02
Exp_20260311_170114,4,0.577,5.00
Exp_20260311_170114,4,0.598,4.98
Exp_20260311_170114,4,0.601,4.86
Exp_20260311_170114,4,0.611,4.66
Exp_20260311_170114,4,0.622,4.78
Exp_20260311_170114,4,0.634,4.82
Exp_20260311_170114,4,0.644,4.83
Exp_20260311_170114,4,0.655,4.61
Exp_20260311_170114,4,0.667,4.37
Exp_20260311_170114,4,0.681,4.11
Exp_20260311_170114,4,0.689,3.83
Exp_20260311_170114,4,0.700,3.63
Exp_20260311_170114,4,0.711,3.36
Exp_20260311_170114,4,0.722,2.74
Exp_20260311_170114,4,0.733,2.37
Exp_20260311_170114,4,0.746,2.07
Exp_20260311_170114,4,0.755,1.80
Exp_20260311_170114,4,0.766,1.70
Exp_20260311_170114,4,0.778,1.51
Exp_20260311_170114,4,0.791,1.28
Exp_20260311_170114,4,0.800,1.14
Exp_20260311_170114,4,0.811,0.90
Exp_20260311_170114,4,0.822,0.83
Exp_20260311_170114,4,0.833,0.79
Exp_20260311_170114,4,0.844,0.88
Exp_20260311_170114,4,0.855,1.12
Exp_20260311_170114,4,0.866,1.29
Exp_20260311_170114,4,0.877,1.38
Exp_20260311_170114,4,0.889,1.39
Exp_20260311_170114,4,0.904,1.41
Exp_20260311_170114,4,0.911,1.43
Exp_20260311_170114,4,0.922,1.41
Exp_20260311_170114,4,0.933,1.39
Exp_20260311_170114,4,0.944,1.47
Exp_20260311_170114,4,0.955,1.51
Exp_20260311_170114,4,0.966,1.52
Exp_20260311_170114,4,0.977,1.51
Exp_20260311_170114,4,0.989,1.52
Exp_20260311_170114,4,1.000,1.52
Exp_20260311_170114,4,1.013,1.47
Exp_20260311_170114,4,1.022,1.41
Exp_20260311_170114,4,1.033,1.41
Exp_20260311_170114,4,1.044,1.48
Exp_20260311_170114,4,1.057,1.49
Exp_20260311_170114,4,1.066,1.36
Exp_20260311_170114,4,1.077,1.12
Exp_20260311_170114,4,1.088,1.02
Exp_20260311_170114,4,1.100,1.03
Exp_20260311_170114,4,1.113,1.18
Exp_20260311_170114,4,1.122,1.25
Exp_20260311_170114,4,1.133,1.30
Exp_20260311_170114,4,1.144,1.29
Exp_20260311_170114,4,1.155,1.32
Exp_20260311_170114,4,1.166,1.31
Exp_20260311_170114,4,1.178,1.28
Exp_20260311_170114,4,1.188,1.18
Exp_20260311_170114,4,1.199,1.18
Exp_20260311_170114,4,1.213,1.16
Exp_20260311_170114,4,1.224,1.18
Exp_20260311_170114,4,1.233,1.06
Exp_20260311_170114,4,1.244,1.00
Exp_20260311_170114,4,1.255,0.80
Exp_20260311_170114,4,1.266,0.70
Exp_20260311_170114,4,1.277,0.56
Exp_20260311_170114,4,1.288,0.38
Exp_20260311_170114,4,1.299,0.23
Exp_20260311_170114,4,1.311,0.01
Exp_20260311_170114,4,1.322,0.06
Exp_20260311_170114,4,1.336,0.03
Exp_20260311_170114,4,1.344,0.12
Exp_20260311_170114,4,1.355,0.09
Exp_20260311_170114,4,1.369,0.16
Exp_20260311_170114,4,1.377,0.14
Exp_20260311_170114,4,1.388,0.18
Exp_20260311_170114,4,1.400,0.18
Exp_20260311_170114,4,1.411,0.21
Exp_20260311_170114,4,1.422,0.26
Exp_20260311_170114,4,1.433,0.28
Exp_20260311_170114,4,1.446,0.29
Exp_20260311_170114,4,1.455,0.33
Exp_20260311_170114,4,1.466,0.35
Exp_20260311_170114,4,1.477,0.34
Exp_20260311_170114,4,1.488,0.31
Exp_20260311_170114,4,1.499,0.15
Exp_20260311_170114,4,1.510,0.10
Exp_20260311_170114,4,1.524,0.09
Exp_20260311_170114,4,1.533,0.17
Exp_20260311_170114,4,1.544,0.11
Exp_20260311_170114,4,1.557,0.08
Exp_20260311_170114,4,1.566,0.22
Exp_20260311_170114,4,1.577,0.22
Exp_20260311_170114,4,1.588,0.23
Exp_20260311_170114,4,1.600,0.19
Exp_20260311_170114,4,1.610,0.20
Exp_20260311_170114,4,1.621,0.21
Exp_20260311_170114,4,1.633,0.20
Exp_20260311_170114,4,1.644,0.19
Exp_20260311_170114,4,1.655,0.19
Exp_20260311_170114,4,1.669,0.26
Exp_20260311_170114,4,1.679,0.28
Exp_20260311_170114,5,0.011,10.00
Exp_20260311_170114,5,0.022,9.62
Exp_20260311_170114,5,0.033,9.35
Exp_20260311_170114,5,0.044,9.25
Exp_20260311_170114,5,0.056,9.29
Exp_20260311_170114,5,0.070,9.10
Exp_20260311_170114,5,0.078,8.87
Exp_20260311_170114,5,0.089,8.98
Exp_20260311_170114,5,0.102,8.92
Exp_20260311_170114,5,0.111,9.01
Exp_20260311_170114,5,0.122,8.81
Exp_20260311_170114,5,0.133,8.70
Exp_20260311_170114,5,0.144,8.34
Exp_20260311_170114,5,0.155,7.98
Exp_20260311_170114,5,0.167,7.52
Exp_20260311_170114,5,0.180,7.20
Exp_20260311_170114,5,0.189,5.93
Exp_20260311_170114,5,0.200,5.22
Exp_20260311_170114,5,0.211,4.11
Exp_20260311_170114,5,0.222,2.29
Exp_20260311_170114,5,0.233,1.18
Exp_20260311_170114,5,0.244,0.11
Exp_20260311_170114,5,0.258,1.60
Exp_20260311_170114,5,0.267,2.94
Exp_20260311_170114,5,0.278,4.29
Exp_20260311_170114,5,0.292,5.91
Exp_20260311_170114,5,0.300,7.10
Exp_20260311_170114,5,0.311,8.41
Exp_20260311_170114,5,0.322,9.11
Exp_20260311_170114,5,0.333,9.90
Exp_20260311_170114,5,0.344,10.59
Exp_20260311_170114,5,0.355,11.16
Exp_20260311_170114,5,0.367,11.85
Exp_20260311_170114,5,0.379,12.43
Exp_20260311_170114,5,0.393,12.51
Exp_20260311_170114,5,0.400,12.73
Exp_20260311_170114,5,0.414,13.14
Exp_20260311_170114,5,0.422,13.42
Exp_20260311_170114,5,0.433,13.45
Exp_20260311_170114,5,0.444,13.37
Exp_20260311_170114,5,0.455,13.01
Exp_20260311_170114,5,0.466,12.78
Exp_20260311_170114,5,0.477,12.54
Exp_20260311_170114,5,0.489,12.07
Exp_20260311_170114,5,0.503,11.71
Exp_20260311_170114,5,0.511,11.32
Exp_20260311_170114,5,0.522,10.13
Exp_20260311_170114,5,0.533,9.38
Exp_20260311_170114,5,0.544,8.64
Exp_20260311_170114,5,0.555,7.79
Exp_20260311_170114,5,0.568,7.17
Exp_20260311_170114,5,0.578,6.68
Exp_20260311_170114,5,0.588,5.84
Exp_20260311_170114,5,0.600,5.11
Exp_20260311_170114,5,0.613,4.43
Exp_20260311_170114,5,0.621,3.74
Exp_20260311_170114,5,0.633,3.29
Exp_20260311_170114,5,0.644,2.88
Exp_20260311_170114,5,0.655,2.72
Exp_20260311_170114,5,0.666,2.30
Exp_20260311_170114,5,0.677,1.86
Exp_20260311_170114,5,0.688,1.50
Exp_20260311_170114,5,0.699,1.10
Exp_20260311_170114,5,0.711,0.74
Exp_20260311_170114,5,0.724,0.69
Exp_20260311_170114,5,0.733,0.61
Exp_20260311_170114,5,0.744,0.57
Exp_20260311_170114,5,0.755,0.81
Exp_20260311_170114,5,0.766,0.80
Exp_20260311_170114,5,0.777,0.82
Exp_20260311_170114,5,0.788,0.71
Exp_20260311_170114,5,0.799,0.68
Exp_20260311_170114,5,0.810,0.61
Exp_20260311_170114,5,0.822,0.36
Exp_20260311_170114,5,0.838,0.26
Exp_20260311_170114,5,0.843,0.17
Exp_20260311_170114,5,0.856,0.12
Exp_20260311_170114,5,0.866,0.04
Exp_20260311_170114,5,0.880,0.01
Exp_20260311_170114,5,0.888,0.19
Exp_20260311_170114,5,0.900,0.35
Exp_20260311_170114,5,0.910,0.48
Exp_20260311_170114,5,0.921,0.34
Exp_20260311_170114,5,0.933,0.30
Exp_20260311_170114,5,0.946,0.36
Exp_20260311_170114,5,0.955,0.44
Exp_20260311_170114,5,0.966,0.47
Exp_20260311_170114,5,0.977,0.47
Exp_20260311_170114,5,0.989,0.35
